Form/Schedule	What it covers	Typical trigger(s)	Primary IRS page URL	Instructions PDF URL	Notes
Form 1040	U.S. Individual Income Tax Return	Base individual return; totals from Schedules & forms roll up here	https://www.irs.gov/forms-pubs/about-form-1040	https://www.irs.gov/pub/irs-pdf/i1040gi.pdf	Accessed 2025-10-01. Current revision links provided. 
Schedule B (Form 1040)	Interest and Ordinary Dividends	Required if interest or ordinary dividends > $1,500; nominee distributions; foreign accounts/trusts	https://www.irs.gov/forms-pubs/about-schedule-b-form-1040	https://www.irs.gov/pub/irs-pdf/f1040sb.pdf	Accessed 2025-10-01. Triggers (>$1,500; foreign) on IRS page. 
Schedule D (Form 1040)	Capital Gains and Losses	Sales/exchanges of capital assets; capital gain distributions; unrecaptured §1250; collectibles	https://www.irs.gov/forms-pubs/about-schedule-d-form-1040	https://www.irs.gov/instructions/i1040sd	Accessed 2025-10-01. Schedule D instructions include 1250/28% rate and when Form 8949 is needed. 
Form 8949	Sales and Other Dispositions of Capital Assets	Broker 1099‑B sales; adjustments to basis; §1061 recharacterization reporting	https://www.irs.gov/forms-pubs/about-form-8949	https://www.irs.gov/instructions/i8949	Accessed 2025-10-01. 8949 instructions reference §1061 reporting on Form 8949. 
Schedule E (Form 1040)	Supplemental income: rental, royalties, partnerships (K‑1), S corps, estates/trusts	Any K‑1 (Form 1065), rental real estate, royalties, S corp K‑1	https://www.irs.gov/forms-pubs/about-schedule-e-form-1040	https://www.irs/instructions/i1040se	Accessed 2025-10-01. Use Schedule E for partnership/LLC K‑1 reporting. 
Schedule K‑1 (Form 1065) – Partner	Partner’s share of income, deductions, credits from partnership/LLC	Receipt of K‑1 from partnership/LLC real‑estate investment	https://www.irs.gov/forms-pubs/about-schedule-k-1-form-1065	https://www.irs.gov/instructions/i1065sk1	Accessed 2025-10-01. Partner’s instructions cover lines (e.g., §1231, §179, 199A info). 
Schedule K‑3 (Form 1065) – Partner	Foreign items detail for partners (FTC, sourcing, etc.)	K‑1 includes international/foreign tax items; partner requested; partnership required	https://www.irs.gov/instructions/i1065sk3	https://www.irs.gov/pub/irs-pdf/i1065sk3.pdf	Accessed 2025-10-01. Describes how K‑3 informs Form 1116 and FTC limitation. 
Form 8995	QBI Deduction (Simplified)	199A deduction for taxpayers at/below threshold; includes **qualified REIT dividends**	https://www.irs.gov/instructions/i8995	https://www.irs.gov/pub/irs-pdf/i8995.pdf	Accessed 2025-10-01. Box 5 (1099‑DIV) flows to 8995. 
Form 8995‑A	QBI Deduction (Full)	QBI when above thresholds or other complexities	https://www.irs.gov/instructions/i8995a	https://www.irs.gov/instructions/i8995a	Accessed 2025-10-01. Explains REIT/PTP component and thresholds. 
Form 1116	Foreign Tax Credit	Foreign tax paid/withheld (e.g., 1099‑DIV box 7; K‑3 items)	https://www.irs.gov/forms-pubs/about-form-1116	https://www.irs.gov/instructions/i1116	Accessed 2025-10-01. Use with K‑3/box 7 as applicable. 
