Item (form/schedule/scenario)	Requires (Online) Tier	Why (short reason)	Source URL
Plain 1099‑DIV with small amounts (no Schedule B required)	Free (Simple Return)	TT “simple return” includes interest/dividends that don’t require Schedule B.	https://turbotax.intuit.com/personal-taxes/compare/online/ 
1099‑DIV where Schedule B **is** required (>$1,500 dividends or foreign account question)	Deluxe	TTLC: Deluxe supports 1099‑DIV & Schedule B.	https://ttlc.intuit.com/community/taxes/discussion/what-version-of-turbotax-will-cover-income-reported-on-1099-div/00/3418655 
1099‑DIV Box 5 (Section 199A/REIT) and no other complexities	Deluxe	QBI from REIT dividends computed on Form 8995; Deluxe supports 1099‑DIV/Sch B level needs.	https://ttlc.intuit.com/community/taxes/discussion/what-version-of-turbotax-will-cover-income-reported-on-1099-div/00/3418655 
1099‑DIV with capital gain distributions Box 2a (and/or 2b/2d categories)	Premium (formerly Premier/Self‑Employed)	Investments/Sch D/8949 are handled in Premium; product page highlights stocks/bonds/crypto.	https://turbotax.intuit.com/personal-taxes/online/premium/ 
Sales reported on 1099‑B (Schedule D/Form 8949 required)	Premium	Investments support (stock/crypto sales) is a Premium feature.	https://turbotax.intuit.com/personal-taxes/online/premium/ 
K‑1 (Form 1065) from real‑estate LLC/partnership	Premium	K‑1 entry requires Premier/Premium or higher in Online.	https://ttlc.intuit.com/community/investments-and-rental-properties/discussion/what-version-of-turbotax-online-do-i-need-to-enter-a-k-1/00/2745 
Schedule K‑3 (Form 1065) foreign info (FTC, sourcing)	Premium	K‑3 foreign items entry supported when using investment/advanced tiers.	https://ttlc.intuit.com/turbotax-support/en-us/help-article/investments-and-rental-property/schedules-k-2-k-3/L6ML8Bzqd_US_en_US 
Foreign tax credit (Form 1116) from 1099‑DIV Box 7 or K‑3	Premium	Handled within investment/advanced tier; often accompanies K‑3/foreign items.	https://turbotax.intuit.com/personal-taxes/online/premium/ 
Multiple K‑1s in one return	Premium	No extra per‑K‑1 software fee; Premium remains required for any K‑1.	https://ttlc.intuit.com/community/investments-and-rental-properties/discussion/what-version-of-turbotax-online-do-i-need-to-enter-a-k-1/00/2745 
Multi‑state returns (nonresident states due to K‑1 property)	Any paid tier + **state add‑ons**	Online supports multiple state returns; each state is an additional fee.	https://turbotax.intuit.com/personal-taxes/online/ 
Nonresident state filing (K‑1 state source income)	Any paid tier + **state add‑on for that state**	You’ll add a nonresident state module (additional state fee applies).	https://turbotax.intuit.com/personal-taxes/online/ 
